  cell  ,E,W,N,S
"(6, 29)",0,0,1,1
"(7, 29)",0,0,1,1
"(8, 29)",0,0,1,1
"(9, 29)",0,0,1,0
"(10, 29)",0,0,1,1
"(11, 29)",1,0,0,1
"(12, 29)",0,0,1,1
"(13, 29)",0,0,1,1
"(14, 29)",0,0,1,1
"(15, 29)",0,0,1,0
"(16, 29)",0,0,1,1
"(17, 29)",0,0,0,1
"(18, 29)",0,0,1,1
"(19, 29)",0,1,1,1
"(20, 29)",0,0,1,1
"(21, 29)",1,0,1,0
"(22, 29)",0,0,1,1
"(23, 29)",0,1,0,1
"(24, 29)",0,0,1,1
"(25, 29)",0,0,1,0
"(26, 29)",0,0,1,1
"(27, 29)",1,0,0,1
"(28, 29)",0,0,1,1
"(29, 29)",0,1,1,1
"(30, 29)",0,0,1,1
"(31, 29)",1,1,1,0
"(1, 30)",1,1,0,0
"(2, 30)",0,0,1,0
"(3, 30)",1,1,0,0
"(4, 30)",0,1,0,1
"(5, 30)",1,1,0,0
"(6, 30)",0,1,1,0
"(7, 30)",0,1,0,0
"(8, 30)",0,1,0,0
"(9, 30)",1,1,0,0
"(10, 30)",1,0,0,1
"(11, 30)",1,1,0,0
"(12, 30)",0,1,1,0
"(13, 30)",1,1,0,0
"(14, 30)",0,1,0,0
"(15, 30)",0,1,0,0
"(16, 30)",1,0,0,0
"(17, 30)",1,1,0,0
"(18, 30)",1,1,0,0
"(19, 30)",1,1,0,0
"(20, 30)",0,1,0,1
"(21, 30)",1,1,0,0
"(22, 30)",0,0,1,0
"(23, 30)",1,1,0,0
"(24, 30)",1,1,0,0
"(25, 30)",1,1,0,0
"(26, 30)",1,0,0,1
"(27, 30)",1,1,0,0
"(28, 30)",1,1,1,0
"(29, 30)",1,1,0,0
"(30, 30)",0,1,0,1
"(31, 30)",1,1,0,0
"(1, 31)",1,1,0,0
"(2, 31)",0,0,1,1
"(3, 31)",1,0,0,0
"(4, 31)",0,0,1,1
"(5, 31)",0,1,0,0
"(6, 31)",0,0,1,0
"(7, 31)",1,0,0,0
"(8, 31)",0,0,0,1
"(9, 31)",1,0,0,1
"(10, 31)",0,0,1,1
"(11, 31)",0,1,1,0
"(12, 31)",0,0,1,1
"(13, 31)",1,0,0,0
"(14, 31)",0,0,1,0
"(15, 31)",0,0,0,1
"(16, 31)",0,0,0,1
"(17, 31)",0,0,1,1
"(18, 31)",0,0,1,1
"(19, 31)",1,0,1,0
"(20, 31)",0,0,1,1
"(21, 31)",0,1,0,0
"(22, 31)",0,0,1,1
"(23, 31)",1,0,0,1
"(24, 31)",0,0,1,1
"(25, 31)",1,0,1,1
"(26, 31)",0,0,1,1
"(27, 31)",0,1,1,1
"(28, 31)",0,0,1,1
"(29, 31)",0,0,1,0
"(30, 31)",0,0,1,1
"(31, 31)",1,1,0,0
"(1, 32)",1,1,0,0
"(2, 32)",0,0,1,1
"(3, 32)",1,1,0,0
"(4, 32)",1,0,1,0
"(5, 32)",1,1,0,0
"(6, 32)",1,0,0,1
"(7, 32)",1,0,0,0
"(8, 32)",0,0,1,1
"(9, 32)",1,1,0,0
"(10, 32)",0,1,1,0
"(11, 32)",1,1,0,0
"(12, 32)",1,0,0,1
"(13, 32)",1,1,0,0
"(14, 32)",0,0,1,0
"(15, 32)",0,0,0,0
"(16, 32)",0,1,0,0
"(17, 32)",1,1,0,0
"(18, 32)",0,1,0,1
"(19, 32)",0,1,0,0
"(20, 32)",0,0,1,0
"(21, 32)",1,1,0,0
"(22, 32)",1,0,0,1
"(23, 32)",1,1,0,0
"(24, 32)",0,1,1,1
"(25, 32)",1,1,0,0
"(26, 32)",0,1,1,0
"(27, 32)",1,1,0,0
"(28, 32)",1,1,0,0
"(29, 32)",1,1,0,0
"(30, 32)",1,0,0,1
"(31, 32)",1,1,0,0
"(1, 33)",1,1,0,0
"(2, 33)",0,0,1,1
"(3, 33)",1,1,0,1
"(4, 33)",0,0,1,1
"(5, 33)",0,0,1,1
"(6, 33)",0,0,1,1
"(7, 33)",0,1,1,0
"(8, 33)",0,0,1,1
"(9, 33)",1,1,0,0
"(10, 33)",0,0,1,1
"(11, 33)",1,0,0,1
"(12, 33)",0,0,1,1
"(13, 33)",1,1,1,0
"(14, 33)",0,0,1,0
"(15, 33)",1,0,0,0
"(16, 33)",0,0,0,1
"(17, 33)",1,0,0,0
"(18, 33)",0,0,1,0
"(19, 33)",0,1,0,0
"(20, 33)",0,0,0,1
"(21, 33)",0,0,0,1
"(22, 33)",0,0,1,1
"(23, 33)",0,1,1,0
"(24, 33)",0,0,1,1
"(25, 33)",0,1,0,0
"(26, 33)",0,0,1,1
"(27, 33)",0,0,0,1
"(28, 33)",0,0,1,1
"(29, 33)",0,0,1,1
"(30, 33)",0,0,1,1
"(31, 33)",1,1,1,0
"(1, 34)",1,1,0,0
"(2, 34)",0,0,1,1
"(3, 34)",1,1,0,0
"(4, 34)",0,1,1,0
"(5, 34)",1,1,0,0
"(6, 34)",1,1,0,0
"(7, 34)",1,1,0,0
"(8, 34)",1,0,0,1
"(9, 34)",1,1,0,0
"(10, 34)",0,0,1,1
"(11, 34)",1,1,0,0
"(12, 34)",0,1,1,1
"(13, 34)",1,1,0,0
"(14, 34)",0,0,1,1
"(15, 34)",1,0,0,0
"(16, 34)",0,0,1,1
"(17, 34)",1,1,0,0
"(18, 34)",0,0,1,0
"(19, 34)",0,0,0,0
"(20, 34)",0,0,0,0
"(21, 34)",1,1,0,0
"(22, 34)",1,1,0,0
"(23, 34)",1,1,0,0
"(24, 34)",1,0,0,0
"(25, 34)",1,1,0,0
"(26, 34)",1,0,0,0
"(27, 34)",1,1,0,0
"(28, 34)",1,1,0,0
"(29, 34)",1,1,0,0
"(30, 34)",0,1,0,1
"(31, 34)",1,1,0,0
"(1, 35)",1,1,0,0
"(2, 35)",0,0,1,1
"(3, 35)",1,1,0,0
"(4, 35)",0,0,1,1
"(5, 35)",0,0,0,1
"(6, 35)",0,0,1,1
"(7, 35)",0,0,1,1
"(8, 35)",0,0,1,1
"(9, 35)",0,1,1,0
"(10, 35)",0,0,1,1
"(11, 35)",0,1,0,0
"(12, 35)",0,0,1,1
"(13, 35)",1,1,0,0
"(14, 35)",0,0,1,1
"(15, 35)",0,1,0,0
"(16, 35)",0,0,1,1
"(17, 35)",0,1,0,0
"(18, 35)",0,0,1,0
"(19, 35)",1,0,0,0
"(20, 35)",0,0,0,1
"(21, 35)",1,0,0,1
"(22, 35)",0,0,1,1
"(23, 35)",0,0,1,1
"(24, 35)",0,0,1,1
"(25, 35)",0,0,1,1
"(26, 35)",0,0,1,1
"(27, 35)",0,0,1,1
"(28, 35)",0,0,1,1
"(29, 35)",0,0,1,0
"(30, 35)",0,0,1,1
"(31, 35)",1,1,0,0
"(1, 36)",1,1,0,0
"(2, 36)",0,0,1,1
"(3, 36)",1,1,0,0
"(4, 36)",1,0,1,0
"(5, 36)",1,1,0,0
"(6, 36)",0,1,0,0
"(7, 36)",1,1,0,0
"(8, 36)",1,1,0,0
"(9, 36)",1,1,0,0
"(10, 36)",0,0,0,0
"(11, 36)",0,1,0,0
"(12, 36)",1,0,0,1
"(13, 36)",1,1,0,0
"(14, 36)",0,0,1,0
"(15, 36)",1,1,0,0
"(16, 36)",0,0,0,0
"(17, 36)",0,1,0,0
"(18, 36)",0,0,0,1
"(19, 36)",0,0,0,0
"(20, 36)",0,0,1,1
"(21, 36)",0,1,0,0
"(22, 36)",0,1,1,0
"(23, 36)",1,1,0,0
"(24, 36)",1,1,0,0
"(25, 36)",1,1,0,0
"(26, 36)",1,1,0,0
"(27, 36)",1,1,0,0
"(28, 36)",1,1,0,0
"(29, 36)",1,1,0,0
"(30, 36)",1,0,0,1
"(31, 36)",1,1,0,0
"(1, 37)",1,1,0,0
"(2, 37)",0,0,1,1
"(3, 37)",0,1,0,1
"(4, 37)",0,0,1,1
"(5, 37)",1,0,1,0
"(6, 37)",0,0,1,1
"(7, 37)",1,0,0,1
"(8, 37)",0,0,1,1
"(9, 37)",0,0,1,0
"(10, 37)",0,0,1,0
"(11, 37)",0,0,0,1
"(12, 37)",0,0,0,1
"(13, 37)",0,1,1,0
"(14, 37)",0,0,1,1
"(15, 37)",1,0,0,0
"(16, 37)",0,0,1,0
"(17, 37)",0,0,0,0
"(18, 37)",0,0,0,0
"(19, 37)",0,1,0,0
"(20, 37)",0,0,0,0
"(21, 37)",0,1,0,0
"(22, 37)",0,0,0,1
"(23, 37)",1,0,0,1
"(24, 37)",0,0,1,1
"(25, 37)",0,0,1,1
"(26, 37)",0,0,1,1
"(27, 37)",0,0,1,1
"(28, 37)",0,0,1,1
"(29, 37)",0,0,1,1
"(30, 37)",0,0,1,1
"(31, 37)",1,1,1,0
"(1, 38)",1,1,0,0
"(2, 38)",1,0,1,0
"(3, 38)",1,1,0,0
"(4, 38)",0,1,0,1
"(5, 38)",1,1,0,0
"(6, 38)",0,0,1,1
"(7, 38)",1,1,0,0
"(8, 38)",0,1,1,0
"(9, 38)",1,1,0,0
"(10, 38)",0,0,0,0
"(11, 38)",0,0,0,0
"(12, 38)",0,1,0,0
"(13, 38)",1,1,0,0
"(14, 38)",1,0,0,1
"(15, 38)",1,1,0,0
"(16, 38)",0,0,1,0
"(17, 38)",1,0,0,0
"(18, 38)",1,0,0,0
"(19, 38)",1,0,0,0
"(20, 38)",0,0,0,0
"(21, 38)",0,0,0,0
"(22, 38)",0,0,0,1
"(23, 38)",0,1,0,0
"(24, 38)",0,1,1,0
"(25, 38)",1,1,0,0
"(26, 38)",1,1,0,0
"(27, 38)",1,1,0,0
"(28, 38)",1,1,0,0
"(29, 38)",1,1,0,0
"(30, 38)",0,1,0,1
"(31, 38)",1,1,0,0
"(1, 39)",1,1,0,1
"(2, 39)",0,0,1,1
"(3, 39)",1,0,1,0
"(4, 39)",0,0,1,1
"(5, 39)",0,1,0,0
"(6, 39)",0,0,1,1
"(7, 39)",1,1,0,0
"(8, 39)",0,0,1,1
"(9, 39)",1,0,0,0
"(10, 39)",0,0,1,0
"(11, 39)",0,0,0,0
"(12, 39)",0,0,0,1
"(13, 39)",1,0,0,1
"(14, 39)",0,0,1,1
"(15, 39)",0,1,1,0
"(16, 39)",0,0,1,1
"(17, 39)",1,0,0,1
"(18, 39)",0,0,1,1
"(19, 39)",1,0,1,0
"(20, 39)",0,0,1,0
"(21, 39)",0,0,0,0
"(22, 39)",0,0,0,0
"(23, 39)",1,1,0,0
"(24, 39)",0,0,0,1
"(25, 39)",1,0,0,1
"(26, 39)",0,0,1,1
"(27, 39)",0,0,1,1
"(28, 39)",0,0,1,1
"(29, 39)",1,0,1,0
"(30, 39)",0,0,1,1
"(31, 39)",1,1,0,0
"(1, 40)",1,1,0,0
"(2, 40)",0,1,1,1
"(3, 40)",1,1,0,0
"(4, 40)",1,0,1,0
"(5, 40)",1,1,0,0
"(6, 40)",0,0,0,1
"(7, 40)",0,1,0,0
"(8, 40)",0,0,1,1
"(9, 40)",1,1,0,0
"(10, 40)",0,0,1,0
"(11, 40)",1,0,0,0
"(12, 40)",1,0,0,1
"(13, 40)",1,1,0,0
"(14, 40)",0,1,1,0
"(15, 40)",1,1,0,0
"(16, 40)",1,0,0,1
"(17, 40)",1,1,0,0
"(18, 40)",0,1,1,1
"(19, 40)",1,1,0,0
"(20, 40)",1,0,1,0
"(21, 40)",1,0,0,0
"(22, 40)",1,0,0,1
"(23, 40)",1,0,0,0
"(24, 40)",0,0,1,1
"(25, 40)",1,1,0,0
"(26, 40)",0,1,1,0
"(27, 40)",1,1,0,0
"(28, 40)",0,1,0,1
"(29, 40)",1,1,0,0
"(30, 40)",1,0,1,1
"(31, 40)",1,1,0,0
"(1, 41)",1,1,0,0
"(2, 41)",0,0,1,1
"(3, 41)",0,1,0,1
"(4, 41)",0,0,1,1
"(5, 41)",0,0,1,0
"(6, 41)",0,0,1,0
"(7, 41)",1,1,0,0
"(8, 41)",0,0,0,1
"(9, 41)",0,1,0,0
"(10, 41)",0,0,1,1
"(11, 41)",0,0,0,1
"(12, 41)",0,0,1,1
"(13, 41)",1,1,1,0
"(14, 41)",0,0,1,1
"(15, 41)",1,0,0,1
"(16, 41)",0,0,1,1
"(17, 41)",0,1,1,0
"(18, 41)",0,0,1,1
"(19, 41)",0,1,0,1
"(20, 41)",0,0,1,1
"(21, 41)",0,0,1,1
"(22, 41)",0,0,1,1
"(23, 41)",1,1,1,0
"(24, 41)",0,0,1,1
"(25, 41)",1,1,0,0
"(26, 41)",0,0,1,1
"(27, 41)",1,0,0,0
"(28, 41)",0,0,1,1
"(29, 41)",0,1,0,1
"(30, 41)",0,0,1,1
"(31, 41)",1,1,1,0
"(1, 42)",1,1,0,0
"(2, 42)",1,0,1,0
"(3, 42)",1,1,0,0
"(4, 42)",1,1,0,0
"(5, 42)",1,1,0,0
"(6, 42)",1,0,0,1
"(7, 42)",1,0,0,0
"(8, 42)",0,0,1,0
"(9, 42)",0,1,0,0
"(10, 42)",1,0,0,0
"(11, 42)",1,1,0,0
"(12, 42)",0,1,0,1
"(13, 42)",1,1,0,0
"(14, 42)",0,0,1,1
"(15, 42)",1,1,0,0
"(16, 42)",0,1,1,0
"(17, 42)",1,1,0,0
"(18, 42)",1,0,0,0
"(19, 42)",1,1,0,0
"(20, 42)",1,1,0,0
"(21, 42)",1,1,0,0
"(22, 42)",0,1,0,1
"(23, 42)",1,1,0,0
"(24, 42)",0,0,1,1
"(25, 42)",1,1,0,0
"(26, 42)",0,0,1,1
"(27, 42)",1,1,0,0
"(28, 42)",1,0,1,0
"(29, 42)",1,1,0,0
"(30, 42)",0,1,0,1
"(31, 42)",1,1,0,0
"(1, 43)",1,1,0,1
"(2, 43)",0,0,1,1
"(3, 43)",0,0,1,1
"(4, 43)",0,0,1,1
"(5, 43)",0,0,1,1
"(6, 43)",0,0,1,1
"(7, 43)",0,1,1,0
"(8, 43)",0,0,1,0
"(9, 43)",1,0,0,1
"(10, 43)",0,0,0,1
"(11, 43)",0,0,1,0
"(12, 43)",0,0,1,1
"(13, 43)",1,1,0,0
"(14, 43)",0,0,1,1
"(15, 43)",1,1,0,0
"(16, 43)",0,0,1,1
"(17, 43)",1,0,0,1
"(18, 43)",0,0,1,1
"(19, 43)",0,0,1,1
"(20, 43)",0,0,1,1
"(21, 43)",1,0,1,0
"(22, 43)",0,0,1,1
"(23, 43)",0,1,0,0
"(24, 43)",0,0,1,1
"(25, 43)",0,1,0,0
"(26, 43)",0,0,1,1
"(27, 43)",0,1,0,1
"(28, 43)",0,0,1,1
"(29, 43)",1,0,1,0
"(30, 43)",0,0,1,1
"(31, 43)",1,1,0,0
"(1, 44)",1,1,0,0
"(2, 44)",0,1,1,0
"(3, 44)",1,1,0,0
"(4, 44)",1,1,0,0
"(5, 44)",1,1,0,0
"(6, 44)",0,1,0,0
"(7, 44)",1,1,0,0
"(8, 44)",1,0,0,1
"(9, 44)",1,0,0,0
"(10, 44)",0,1,1,0
"(11, 44)",1,1,0,0
"(12, 44)",1,0,0,1
"(13, 44)",1,1,0,0
"(14, 44)",0,0,1,1
"(15, 44)",1,1,0,0
"(16, 44)",0,0,1,1
"(17, 44)",0,1,0,0
"(18, 44)",0,1,1,0
"(19, 44)",1,1,0,0
"(20, 44)",0,1,0,1
"(21, 44)",1,1,0,0
"(22, 44)",0,0,1,0
"(23, 44)",1,1,0,0
"(24, 44)",1,0,0,0
"(25, 44)",1,1,0,0
"(26, 44)",1,0,0,0
"(27, 44)",1,1,0,0
"(28, 44)",1,1,0,1
"(29, 44)",1,1,0,0
"(30, 44)",0,0,1,1
"(31, 44)",1,1,0,0
"(1, 45)",1,1,0,0
"(2, 45)",0,0,1,1
"(3, 45)",1,0,0,1
"(4, 45)",0,0,1,1
"(5, 45)",0,0,1,0
"(6, 45)",0,0,1,1
"(7, 45)",1,0,0,1
"(8, 45)",0,0,1,1
"(9, 45)",0,1,1,0
"(10, 45)",0,0,1,1
"(11, 45)",1,0,0,1
"(12, 45)",0,0,1,1
"(13, 45)",1,1,1,0
"(14, 45)",0,0,1,1
"(15, 45)",0,1,0,0
"(16, 45)",0,0,1,0
"(17, 45)",0,1,0,0
"(18, 45)",0,0,0,1
"(19, 45)",1,0,0,0
"(20, 45)",0,0,1,1
"(21, 45)",1,1,0,0
"(22, 45)",0,0,1,1
"(23, 45)",0,0,0,1
"(24, 45)",0,0,1,1
"(25, 45)",1,0,1,1
"(26, 45)",0,0,1,1
"(27, 45)",0,0,1,1
"(28, 45)",0,0,1,1
"(29, 45)",0,1,1,0
"(30, 45)",0,0,1,1
"(31, 45)",1,1,0,0
"(1, 46)",1,1,0,0
"(2, 46)",0,0,1,1
"(3, 46)",1,1,0,0
"(4, 46)",0,1,1,0
"(5, 46)",1,1,0,0
"(6, 46)",0,0,0,1
"(7, 46)",1,1,0,0
"(8, 46)",1,1,1,0
"(9, 46)",1,1,0,0
"(10, 46)",0,0,0,1
"(11, 46)",1,1,0,0
"(12, 46)",0,1,1,1
"(13, 46)",1,1,0,0
"(14, 46)",0,0,1,0
"(15, 46)",1,1,0,0
"(16, 46)",0,0,0,0
"(17, 46)",0,0,0,0
"(18, 46)",0,0,0,1
"(19, 46)",1,1,0,0
"(20, 46)",1,0,1,1
"(21, 46)",1,1,0,0
"(22, 46)",1,0,1,0
"(23, 46)",1,1,0,0
"(24, 46)",0,1,0,1
"(25, 46)",1,1,0,0
"(26, 46)",0,1,1,0
"(27, 46)",1,1,0,0
"(28, 46)",1,1,0,0
"(29, 46)",1,1,0,0
"(30, 46)",0,0,0,1
"(31, 46)",1,1,0,0
"(1, 47)",1,1,0,0
"(2, 47)",0,0,1,1
"(3, 47)",0,1,0,0
"(4, 47)",0,0,1,1
"(5, 47)",1,0,0,0
"(6, 47)",0,0,1,1
"(7, 47)",0,1,0,1
"(8, 47)",0,0,1,1
"(9, 47)",1,0,1,0
"(10, 47)",0,0,1,1
"(11, 47)",0,1,0,0
"(12, 47)",0,0,1,1
"(13, 47)",1,1,0,0
"(14, 47)",0,0,1,1
"(15, 47)",0,0,0,0
"(16, 47)",0,0,1,0
"(17, 47)",0,0,0,0
"(18, 47)",0,0,0,1
"(19, 47)",0,1,0,1
"(20, 47)",0,0,1,1
"(21, 47)",0,1,1,1
"(22, 47)",0,0,1,1
"(23, 47)",1,0,1,0
"(24, 47)",0,0,1,1
"(25, 47)",1,1,0,0
"(26, 47)",0,0,1,1
"(27, 47)",1,0,0,1
"(28, 47)",0,0,1,1
"(29, 47)",1,0,1,0
"(30, 47)",0,0,1,1
"(31, 47)",1,1,0,0
"(1, 48)",1,1,0,0
"(2, 48)",1,0,1,0
"(3, 48)",1,1,0,0
"(4, 48)",1,0,0,1
"(5, 48)",1,1,0,0
"(6, 48)",1,0,1,0
"(7, 48)",1,1,0,0
"(8, 48)",0,1,0,1
"(9, 48)",1,1,0,0
"(10, 48)",1,0,1,0
"(11, 48)",1,1,0,0
"(12, 48)",0,0,0,1
"(13, 48)",1,1,0,0
"(14, 48)",1,0,1,0
"(15, 48)",1,1,0,0
"(16, 48)",1,0,0,0
"(17, 48)",0,0,0,0
"(18, 48)",0,0,0,0
"(19, 48)",1,1,0,0
"(20, 48)",1,1,0,0
"(21, 48)",1,1,0,0
"(22, 48)",0,1,0,1
"(23, 48)",1,1,0,0
"(24, 48)",0,0,1,1
"(25, 48)",1,1,0,0
"(26, 48)",0,0,1,1
"(27, 48)",1,1,0,0
"(28, 48)",0,1,1,1
"(29, 48)",0,1,0,0
"(30, 48)",0,0,1,1
"(31, 48)",1,1,0,0
"(1, 49)",1,1,0,1
"(2, 49)",0,0,1,1
"(3, 49)",0,0,1,1
"(4, 49)",0,0,1,1
"(5, 49)",0,1,1,1
"(6, 49)",0,0,1,1
"(7, 49)",0,0,1,0
"(8, 49)",0,0,1,1
"(9, 49)",1,1,0,1
"(10, 49)",0,0,1,1
"(11, 49)",0,0,1,0
"(12, 49)",0,0,1,1
"(13, 49)",0,1,0,1
"(14, 49)",0,0,1,1
"(15, 49)",1,0,1,1
"(16, 49)",0,0,1,0
"(17, 49)",0,0,1,0
"(18, 49)",0,0,0,1
"(19, 49)",0,0,0,1
"(20, 49)",0,0,1,1
"(21, 49)",1,0,1,0
"(22, 49)",0,0,1,1
"(23, 49)",1,1,0,0
"(24, 49)",0,0,1,1
"(25, 49)",0,1,0,0
"(26, 49)",0,0,1,1
"(27, 49)",1,1,0,0
"(28, 49)",0,0,1,0
"(29, 49)",1,1,0,0
"(30, 49)",0,0,0,1
"(31, 49)",1,1,0,0
"(1, 50)",1,1,0,0
"(2, 50)",0,1,1,0
"(3, 50)",1,1,0,0
"(4, 50)",1,1,0,0
"(5, 50)",1,1,0,0
"(6, 50)",0,1,0,0
"(7, 50)",1,1,0,0
"(8, 50)",1,0,0,1
"(9, 50)",1,1,0,0
"(10, 50)",0,1,1,0
"(11, 50)",1,1,0,0
"(12, 50)",1,0,0,0
"(13, 50)",1,1,0,0
"(14, 50)",1,1,0,1
"(15, 50)",1,1,0,0
"(16, 50)",0,1,1,0
"(17, 50)",1,0,0,0
"(18, 50)",1,0,0,0
"(19, 50)",1,1,0,0
"(20, 50)",1,1,0,1
"(21, 50)",1,1,0,0
"(22, 50)",0,0,1,1
"(23, 50)",1,1,0,0
"(24, 50)",1,0,1,0
"(25, 50)",1,1,0,0
"(26, 50)",1,0,0,1
"(27, 50)",1,1,0,0
"(28, 50)",0,0,1,1
"(29, 50)",1,0,0,0
"(30, 50)",0,0,1,1
"(31, 50)",1,1,0,0
"(1, 51)",1,1,0,0
"(2, 51)",0,0,1,1
"(3, 51)",0,0,0,1
"(4, 51)",0,0,1,1
"(5, 51)",0,0,1,0
"(6, 51)",0,0,1,1
"(7, 51)",1,0,0,1
"(8, 51)",0,0,1,1
"(9, 51)",1,1,1,0
"(10, 51)",0,0,1,1
"(11, 51)",0,0,0,1
"(12, 51)",0,0,1,1
"(13, 51)",1,0,1,1
"(14, 51)",0,0,1,1
"(15, 51)",0,1,1,0
"(16, 51)",0,0,1,1
"(17, 51)",0,0,0,1
"(18, 51)",0,0,1,1
"(19, 51)",1,0,1,1
"(20, 51)",0,0,1,1
"(21, 51)",0,1,1,0
"(22, 51)",0,0,1,1
"(23, 51)",0,1,0,1
"(24, 51)",0,0,1,1
"(25, 51)",0,0,1,1
"(26, 51)",0,0,1,1
"(27, 51)",0,1,1,0
"(28, 51)",0,0,1,1
"(29, 51)",1,1,0,0
"(30, 51)",0,0,1,1
"(31, 51)",1,1,0,0
"(1, 52)",1,1,0,0
"(2, 52)",0,0,1,0
"(3, 52)",1,1,0,0
"(4, 52)",1,1,0,0
"(5, 52)",1,1,0,0
"(6, 52)",0,0,0,1
"(7, 52)",1,1,0,0
"(8, 52)",0,1,1,1
"(9, 52)",1,1,0,0
"(10, 52)",1,0,1,0
"(11, 52)",1,1,0,0
"(12, 52)",0,1,0,1
"(13, 52)",1,1,0,0
"(14, 52)",0,1,1,0
"(15, 52)",1,1,0,0
"(16, 52)",1,0,0,0
"(17, 52)",1,1,0,0
"(18, 52)",1,1,0,1
"(19, 52)",1,1,0,0
"(20, 52)",0,1,1,0
"(21, 52)",1,1,0,0
"(22, 52)",0,0,0,0
"(23, 52)",1,1,0,0
"(24, 52)",1,1,0,0
"(25, 52)",1,1,0,0
"(26, 52)",1,1,0,0
"(27, 52)",1,1,0,0
"(28, 52)",1,0,0,1
"(29, 52)",1,1,0,0
"(30, 52)",0,0,1,1
"(31, 52)",1,1,0,0
"(1, 53)",1,1,0,0
"(2, 53)",0,0,1,1
"(3, 53)",1,0,0,1
"(4, 53)",0,0,1,1
"(5, 53)",1,0,1,0
"(6, 53)",0,0,1,1
"(7, 53)",1,1,0,0
"(8, 53)",0,0,1,1
"(9, 53)",0,1,0,1
"(10, 53)",0,0,1,1
"(11, 53)",1,0,1,0
"(12, 53)",0,0,1,1
"(13, 53)",0,1,0,0
"(14, 53)",0,0,1,1
"(15, 53)",0,0,0,1
"(16, 53)",0,0,1,1
"(17, 53)",1,0,1,1
"(18, 53)",0,0,1,1
"(19, 53)",0,1,1,0
"(20, 53)",0,0,1,1
"(21, 53)",1,0,0,0
"(22, 53)",0,0,1,1
"(23, 53)",0,0,0,1
"(24, 53)",0,0,1,1
"(25, 53)",0,0,1,1
"(26, 53)",0,0,1,1
"(27, 53)",0,0,1,1
"(28, 53)",0,0,1,1
"(29, 53)",0,1,1,0
"(30, 53)",0,0,1,1
"(31, 53)",1,1,0,0
"(1, 54)",1,1,0,0
"(2, 54)",0,0,1,1
"(3, 54)",1,1,0,0
"(4, 54)",0,1,1,1
"(5, 54)",1,1,0,0
"(6, 54)",0,0,1,1
"(7, 54)",1,1,0,0
"(8, 54)",1,0,1,0
"(9, 54)",1,1,0,0
"(10, 54)",0,1,0,1
"(11, 54)",1,1,0,0
"(12, 54)",0,0,1,0
"(13, 54)",1,1,0,0
"(14, 54)",1,0,0,0
"(15, 54)",1,1,0,0
"(16, 54)",0,1,0,1
"(17, 54)",1,1,0,0
"(18, 54)",0,1,1,0
"(19, 54)",1,1,0,0
"(20, 54)",1,0,0,1
"(21, 54)",1,1,0,0
"(22, 54)",0,0,1,0
"(23, 54)",0,1,0,0
"(24, 54)",0,1,0,0
"(25, 54)",1,1,0,0
"(26, 54)",1,1,0,0
"(27, 54)",1,1,0,0
"(28, 54)",1,1,0,0
"(29, 54)",1,1,0,0
"(30, 54)",1,0,0,1
"(31, 54)",1,1,0,0
"(1, 55)",1,1,0,0
"(2, 55)",0,0,1,1
"(3, 55)",0,1,0,0
"(4, 55)",0,0,1,1
"(5, 55)",1,1,0,0
"(6, 55)",0,0,1,1
"(7, 55)",0,1,0,1
"(8, 55)",0,0,1,1
"(9, 55)",1,0,1,0
"(10, 55)",0,0,1,1
"(11, 55)",0,1,0,0
"(12, 55)",0,0,1,1
"(13, 55)",1,0,0,1
"(14, 55)",0,0,1,1
"(15, 55)",0,0,1,0
"(16, 55)",0,0,1,1
"(17, 55)",1,1,0,0
"(18, 55)",0,0,1,1
"(19, 55)",0,0,0,1
"(20, 55)",0,0,1,1
"(21, 55)",0,1,1,0
"(22, 55)",0,0,1,0
"(23, 55)",0,0,0,0
"(24, 55)",0,0,0,1
"(25, 55)",1,0,0,1
"(26, 55)",0,0,1,1
"(27, 55)",0,0,1,1
"(28, 55)",0,0,1,1
"(29, 55)",0,0,1,1
"(30, 55)",0,0,1,1
"(31, 55)",1,1,1,0
"(1, 56)",1,1,0,0
"(2, 56)",1,0,1,0
"(3, 56)",1,1,0,0
"(4, 56)",0,0,0,1
"(5, 56)",1,1,0,0
"(6, 56)",1,0,1,0
"(7, 56)",1,1,0,0
"(8, 56)",0,1,0,1
"(9, 56)",1,1,0,0
"(10, 56)",1,0,1,0
"(11, 56)",1,1,0,0
"(12, 56)",1,0,0,1
"(13, 56)",1,1,0,0
"(14, 56)",0,1,1,0
"(15, 56)",0,1,0,0
"(16, 56)",1,0,0,1
"(17, 56)",1,1,0,0
"(18, 56)",1,0,1,0
"(19, 56)",1,1,0,0
"(20, 56)",0,1,0,0
"(21, 56)",1,1,0,0
"(22, 56)",0,0,0,0
"(23, 56)",0,0,0,0
"(24, 56)",0,0,0,1
"(25, 56)",1,1,0,0
"(26, 56)",0,1,1,0
"(27, 56)",1,1,0,0
"(28, 56)",0,1,0,0
"(29, 56)",1,1,0,0
"(30, 56)",1,1,0,1
"(31, 56)",1,1,0,0
"(1, 57)",1,1,0,1
"(2, 57)",0,0,1,1
"(3, 57)",0,0,1,0
"(4, 57)",0,0,1,1
"(5, 57)",0,1,0,1
"(6, 57)",0,0,1,1
"(7, 57)",0,0,1,0
"(8, 57)",0,0,1,1
"(9, 57)",1,1,0,1
"(10, 57)",0,0,1,1
"(11, 57)",0,0,1,1
